0,"0.017*""mar"" + 0.015*""ground"" + 0.011*""gpm"" + 0.011*""op"" + 0.010*""data"" + 0.010*""turbul"" + 0.010*""asteroid"" + 0.009*""mer"" + 0.009*""camera"" + 0.009*""orbit"""
1,"0.014*""ge"" + 0.014*""disc"" + 0.013*""L2"" + 0.013*""grid"" + 0.012*""lidar"" + 0.010*""cloud"" + 0.010*""new"" + 0.010*""horizon"" + 0.009*""monthli"" + 0.009*""L3"""
2,"0.014*""comet"" + 0.012*""nomenclatur"" + 0.012*""gazett"" + 0.010*""manufactur"" + 0.010*""data"" + 0.009*""scienc"" + 0.008*""asteroid"" + 0.008*""record"" + 0.007*""moon"" + 0.006*""spectra"""
3,"0.014*""system"" + 0.009*""detect"" + 0.009*""global"" + 0.008*""aircraft"" + 0.008*""navig"" + 0.008*""land"" + 0.006*""manag"" + 0.006*""distribut"" + 0.006*""model"" + 0.006*""autonom"""
4,"0.014*""system"" + 0.013*""high"" + 0.010*""engin"" + 0.009*""thermal"" + 0.009*""sensor"" + 0.008*""space"" + 0.008*""applic"" + 0.008*""monitor"" + 0.008*""academi"" + 0.007*""control"""
5,"0.012*""nasa"" + 0.010*""shield"" + 0.008*""model"" + 0.008*""cubesat"" + 0.008*""solid"" + 0.008*""system"" + 0.007*""design"" + 0.007*""kit"" + 0.007*""expedit"" + 0.007*""budget"""
6,"0.017*""cassini"" + 0.016*""-"" + 0.016*""raw"" + 0.015*""rosetta-orbit"" + 0.012*""deep"" + 0.011*""set"" + 0.011*""data"" + 0.010*""rss"" + 0.010*""earth"" + 0.009*""collabor"""
7,"0.010*""observ"" + 0.010*""degre"" + 0.008*""x"" + 0.006*""high"" + 0.006*""lightcurv"" + 0.006*""data"" + 0.006*""flight"" + 0.005*""filter"" + 0.005*""amplifi"" + 0.005*""cover"""
