0,"0.010*""data"" + 0.006*""observ"" + 0.005*""product"" + 0.005*""file"" + 0.004*""contain"" + 0.004*""earth"" + 0.003*""km"" + 0.003*""measur"" + 0.003*""collect"" + 0.003*""the"""
1,"0.007*""phase"" + 0.006*""raw"" + 0.006*""contain"" + 0.005*""data"" + 0.005*""radio"" + 0.004*""mission"" + 0.004*""comet"" + 0.004*""taken"" + 0.004*""calibr"" + 0.003*""academi"""
2,"0.004*""design"" + 0.003*""develop"" + 0.003*""propos"" + 0.003*""technolog"" + 0.003*""materi"" + 0.003*""test"" + 0.003*""control"" + 0.003*""oper"" + 0.003*""power"" + 0.003*""use"""
